Index,Formula,K,Rb,Cs,MA,FA,Ca,Sr,Ba,Ge,Sn,Pb,Cl,Br,I,Cubic,Tetra,Ortho,Hex,A_ion_rad,A_BP,A_MP,A_dens,A_at_wt,A_EA,A_IE,A_hof,A_hov,A_En,A_at_num,A_period,B_ion_rad,B_BP,B_MP,B_dens,B_at_wt,B_EA,B_IE,B_hof,B_hov,B_En,B_at_num,B_period,X_ion_rad,X_BP,X_MP,X_dens,X_at_wt,X_EA,X_IE,X_hof,X_hov,X_En,X_at_num,X_period
23,FA0.6MA0.4PbI3,0.00,0.00,0.00,0.40,0.60,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,2.39,298.20,284.66,0.94,39.86,8.63,879.98,6.35,26.94,2.56,83.80,7.60,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.20,457.50,386.70,4.93,126.90,295.30,1008.40,7.76,20.90,2.66,53.00,5.00
24,FA0.85MA0.15PbI3,0.00,0.00,0.00,0.15,0.85,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,2.48,311.20,328.00,1.04,43.11,8.61,860.68,6.44,28.23,2.57,88.30,7.85,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.20,457.50,386.70,4.93,126.90,295.30,1008.40,7.76,20.90,2.66,53.00,5.00
25,FAPbI3,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,2.53,319.00,354.00,1.10,45.06,8.60,849.10,6.50,29.00,2.57,91.00,8.00,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.20,457.50,386.70,4.93,126.90,295.30,1008.40,7.76,20.90,2.66,53.00,5.00
26,FA0.95Cs0.05PbI3,0.00,0.00,0.05,0.00,0.95,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,2.49,350.25,351.38,1.14,49.45,10.44,825.43,6.28,30.94,2.48,89.20,7.90,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.20,457.50,386.70,4.93,126.90,295.30,1008.40,7.76,20.90,2.66,53.00,5.00
27,(FAPbI3)0.9(MAPbBr3)0.1,0.00,0.00,0.00,0.10,0.90,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.10,0.90,1.00,0.00,0.00,0.00,2.49,313.80,336.66,1.06,43.76,8.61,856.82,6.46,28.48,2.57,89.20,7.90,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.18,444.94,374.63,4.75,122.20,298.23,1021.55,7.51,20.28,2.69,51.20,4.90
28,Cs0.05FA0.70MA0.25PbI3,0.00,0.00,0.05,0.25,0.70,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,2.40,337.25,308.04,1.04,46.20,10.47,844.73,6.19,29.65,2.48,84.70,7.65,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.20,457.50,386.70,4.93,126.90,295.30,1008.40,7.76,20.90,2.66,53.00,5.00
29,(FAPbI3)0.95(MAPbBr3)0.05,0.00,0.00,0.00,0.05,0.95,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.05,0.95,1.00,0.00,0.00,0.00,2.51,316.40,345.33,1.08,44.41,8.60,852.96,6.48,28.74,2.57,90.10,7.95,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.19,451.22,380.66,4.84,124.55,296.76,1014.97,7.64,20.59,2.67,52.10,4.95
30,Cs0.05(FA0.92MA0.08)0.95Pb(I0.92Br0.08)3,0.00,0.00,0.05,0.08,0.87,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.08,0.92,1.00,0.00,0.00,0.00,2.46,346.30,338.20,1.11,48.46,10.45,831.30,6.25,30.55,2.48,87.83,7.82,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.18,447.45,377.04,4.79,123.14,297.64,1018.92,7.56,20.41,2.68,51.56,4.92
31,(FAPbI3)0.92(MAPbBr3)0.08,0.00,0.00,0.00,0.08,0.92,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.08,0.92,1.00,0.00,0.00,0.00,2.50,314.84,340.13,1.07,44.02,8.61,855.28,6.47,28.59,2.57,89.56,7.92,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.18,447.45,377.04,4.79,123.14,297.64,1018.92,7.56,20.41,2.68,51.56,4.92
32,(FAPbI3)0.85(MAPbBr3)0.15,0.00,0.00,0.00,0.15,0.85,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.15,0.85,1.00,0.00,0.00,0.00,2.48,311.20,328.00,1.04,43.11,8.61,860.68,6.44,28.23,2.57,88.30,7.85,1.19,2023.00,600.65,11.35,207.20,110.00,715.50,4.77,177.90,2.33,82.00,6.00,2.16,438.65,368.59,4.66,119.85,299.69,1028.12,7.39,19.97,2.70,50.30,4.85
